RequestComplaintID,RCode,RCodeDescription,EHS,section,TakenBy,Method,Duplicate,EstID,oss_id,RequestDate,ResolvedDate,NextInspDate,IsCityorCounty,Status,RequestType,IsFollowUp,OwnerType,PersonOrPremiseZip,ComplaintantZip,OwnerZip,ObjectId
530437,625,MOBILE HOME/REC VEHICLE PARKS,47,0,,PHONE CALL,NO,28968,,2013/02/07 05:00:00+00,2018/04/02 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40258,,,1
514785,691,WASTE WATER TREATMENT PLANT,5186,0,,,NO,,,2012/05/07 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40214,,,2
495040,691,WASTE WATER TREATMENT PLANT,0,2,DE,PHONE CALL,NO,,,2011/05/12 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40211,,,3
282276,660,NUISANCE CONTROL,51,5,FEM,PHONE,NO,,,1995/06/13 04:00:00+00,1996/04/23 00:00:00,1996/04/19 00:00:00,COUNTY,RESOLVED,IN COURT,NO,OWNER,40222,,,4
531802,688,HAZARDOUS MATERIAL SPILLS,0,4,BC,OTHER,NO,84423,,2013/03/04 05:00:00+00,,,COUNTY,OPEN,COMPLAINT,,,40216,,,5
514843,685,PRIVATE SEWAGE,0,2,MDR,CITY CALL,NO,,,2012/05/08 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40216,,,6
503369,695,SWIMMING AREA,0,2,MDR,OTHER,NO,44643,,2011/09/23 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40205,,,7
495056,691,WASTE WATER TREATMENT PLANT,0,0,JM,PHONE CALL,NO,,,2011/05/13 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40214,,,8
532951,685,PRIVATE SEWAGE,0,0,,,NO,,,2013/03/26 04:00:00+00,2018/10/18 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40291,,,9
386926,691,WASTE WATER TREATMENT PLANT,5186,22,TFW,PHONE,NO,,,2001/03/20 05:00:00+00,2020/05/14 00:00:00,2011/05/31 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40216,,,10
510285,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/10 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,11
514968,691,WASTE WATER TREATMENT PLANT,5190,0,,OTHER,NO,,,2012/05/09 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40216,,40272,12
503459,685,PRIVATE SEWAGE,0,0,,,NO,,,2011/09/15 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40299,,,13
535781,685,PRIVATE SEWAGE,66,0,,,NO,,,2013/05/03 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40291,,,14
582067,691,WASTE WATER TREATMENT PLANT,0,2,MDR,PHONE CALL,NO,,,2015/05/18 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,40203,15
495132,685,PRIVATE SEWAGE,0,0,JM,PHONE CALL,NO,,,2011/05/16 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40219,,,16
427761,691,WASTE WATER TREATMENT PLANT,6628,22,MM-MR,IN PERSON,NO,,,2003/12/09 05:00:00+00,,2014/12/03 00:00:00,COUNTY,OPEN,COMPLAINT,NO,,40272,,,17
514996,691,WASTE WATER TREATMENT PLANT,0,0,,,NO,,,2012/05/07 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40216,,,18
598396,614,FOOD MANAGERS,0,4,BH/MR,OTHER,NO,76936,,2016/01/28 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40258,,,19
510288,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/10 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,20
504071,685,PRIVATE SEWAGE,43,0,,IN PERSON,NO,,,2011/09/29 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,0,,,21
538785,691,WASTE WATER TREATMENT PLANT,66,0,,,NO,,,2013/06/18 04:00:00+00,,2013/06/26 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40291,,,22
582262,605,FOOD SERVICE ESTABLISHMENT,0,4,MDR,CITY CALL,NO,65774,,2015/05/19 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40204,,,23
495383,685,PRIVATE SEWAGE,0,0,SB,PHONE CALL,NO,,,2011/03/04 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,24
515018,691,WASTE WATER TREATMENT PLANT,0,2,DE,PHONE CALL,NO,,,2012/05/10 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40214,,,25
427862,691,WASTE WATER TREATMENT PLANT,5186,22,MDR,IN PERSON,NO,,,2003/12/12 05:00:00+00,2021/05/12 00:00:00,2011/08/01 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40272,,,26
598728,620,HOTEL OR MOTELS,0,2,MDR,CITY CALL,NO,91386,,2016/02/08 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40291,,,27
