AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2016,POLICE SERGEANT                    ,M,A ,40 - 49,49,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,23,0
2390,POLICE OFFICER                     ,M,W ,50 - 59,53,2ND DIVISION                                           ,2ND PLATOON                                            ,24,1
6048,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,26,2
2992,POLICE SERGEANT                    ,M,W ,50 - 59,59,6TH DIVISION                                           ,2ND PLATOON                                            ,26,3
2637,POLICE LIEUTENANT                  ,M,W ,OVER 60,69,FORMER EMPLOYEE                                        ,,45,4
6254,POLICE OFFICER                     ,M,W ,OVER 60,62,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,33,5
6561,POLICE OFFICER                     ,M,W ,50 - 59,52,TRAFFIC                                                ,2ND PLATOON                                            ,30,6
6414,POLICE SERGEANT                    ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,7
6084,POLICE SERGEANT                    ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,2ND PLATOON                                            ,30,8
2704,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,33,9
2000,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAFFIC                                                ,1ST PLATOON                                            ,21,10
2001,POLICE OFFICER                     ,F,W ,40 - 49,41,7TH DIVISION                                           ,3RD PLATOON                                            ,17,11
2004,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,1ST PLATOON                                            ,22,12
2005,POLICE OFFICER                     ,F,W ,30 - 39,39,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,17,13
2006,POLICE SERGEANT                    ,M,W ,40 - 49,49,1ST DIVISION                                           ,BIKE PLATOON                                           ,24,14
2010,POLICE OFFICER                     ,F,W ,OVER 60,64,2ND DIVISION                                           ,2ND PLATOON                                            ,23,15
2011,POLICE OFFICER                     ,M,W ,50 - 59,53,FORMER EMPLOYEE                                        ,,23,16
2013,POLICE OFFICER                     ,F,W ,50 - 59,50,8TH DIVISION                                           ,1ST PLATOON                                            ,24,17
2015,POLICE OFFICER                     ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,44,18
2017,POLICE OFFICER                     ,M,W ,50 - 59,55,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,19,19
2018,POLICE OFFICER                     ,M,W ,50 - 59,50,7TH DIVISION                                           ,3RD PLATOON                                            ,21,20
2019,POLICE SERGEANT                    ,M,W ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,24,21
2021,POLICE OFFICER                     ,F,H ,40 - 49,43,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,17,22
2022,POLICE LIEUTENANT                  ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,19,23
6600,POLICE SERGEANT                    ,M,W ,40 - 49,49,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,22,24
2024,POLICE SERGEANT                    ,M,W ,40 - 49,41,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,18,25
2025,POLICE OFFICER                     ,M,W ,50 - 59,52,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23,26
2026,POLICE OFFICER                     ,M,B ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,23,27
2028,POLICE OFFICER                     ,M,W ,50 - 59,50,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,22,28
2029,POLICE LIEUTENANT                  ,M,B ,50 - 59,55,8TH DIVISION                                           ,STAFF                                                  ,24,29
2030,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,1ST PLATOON                                            ,21,30
2032,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,1ST PLATOON                                            ,23,31
2033,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,2ND PLATOON                                            ,23,32
2034,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,2ND PLATOON                                            ,22,33
2035,POLICE OFFICER                     ,M,W ,50 - 59,51,FORMER EMPLOYEE                                        ,,20,34
2037,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,8TH DIVISION                                           ,STAFF                                                  ,23,35
2038,POLICE OFFICER                     ,M,W ,40 - 49,49,1ST DIVISION                                           ,BIKE PLATOON                                           ,22,36
2039,POLICE OFFICER                     ,F,B ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,23,37
2040,POLICE MAJOR                       ,M,W ,50 - 59,50,NARCOTICS                                              ,STAFF                                                  ,24,38
2041,POLICE LIEUTENANT                  ,M,W ,40 - 49,46,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,19,39
2042,POLICE OFFICER                     ,M,W ,OVER 60,60,4TH DIVISION                                           ,1ST PLATOON                                            ,23,40
2043,POLICE OFFICER                     ,M,B ,50 - 59,57,1ST DIVISION                                           ,BIKE PLATOON                                           ,18,41
2044,POLICE SERGEANT                    ,M,B ,40 - 49,45,8TH DIVISION                                           ,2ND PLATOON                                            ,23,42
2045,POLICE MAJOR                       ,M,W ,50 - 59,51,9TH DIVISION                                           ,STAFF                                                  ,24,43
2046,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,2ND PLATOON                                            ,24,44
2047,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,7TH DIVISION                                           ,STAFF                                                  ,23,45
2048,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,2ND PLATOON                                            ,23,46
2049,POLICE OFFICER                     ,M,W ,50 - 59,51,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,23,47
2051,POLICE OFFICER                     ,M,W ,50 - 59,57,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,23,48
2052,POLICE OFFICER                     ,F,W ,50 - 59,50,FORMER EMPLOYEE                                        ,,24,49
2053,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,1ST DIVISION                                           ,BIKE PLATOON                                           ,21,50
2054,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,1ST DIVISION                                           ,STAFF                                                  ,23,51
2055,POLICE OFFICER                     ,M,W ,50 - 59,55,9TH DIVISION                                           ,SQUAD 1                                                ,21,52
2056,POLICE SERGEANT                    ,M,W ,40 - 49,49,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,24,53
2058,POLICE SERGEANT                    ,M,W ,40 - 49,46,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,23,54
2060,POLICE OFFICER                     ,M,W ,40 - 49,48,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,23,55
2061,POLICE OFFICER                     ,M,W ,40 - 49,44,COURT LIAISON OFFICE                                   ,STAFF                                                  ,17,56
2062,POLICE OFFICER                     ,M,B ,40 - 49,45,7TH DIVISION                                           ,1ST PLATOON                                            ,23,57
2063,POLICE OFFICER                     ,M,W ,40 - 49,47,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,20,58
2064,POLICE OFFICER                     ,M,B ,50 - 59,53,CIS HOMICIDE                                           ,SQUAD 2                                                ,19,59
2066,POLICE OFFICER                     ,F,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,23,60
2067,POLICE OFFICER                     ,M,B ,50 - 59,58,NARCOTICS                                              ,SQUAD 2                                                ,25,61
2069,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,23,62
2071,POLICE OFFICER                     ,M,U ,50 - 59,51,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,21,63
2072,POLICE OFFICER                     ,M,W ,40 - 49,46,RIVER PATROL                                           ,STAFF                                                  ,18,64
2073,POLICE OFFICER                     ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,122,65
2074,POLICE SERGEANT                    ,M,W ,40 - 49,45,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,17,66
2076,POLICE OFFICER                     ,M,W ,40 - 49,48,2ND DIVISION                                           ,DETECTIVES                                             ,24,67
2077,POLICE MAJOR                       ,M,W ,OVER 60,70,2ND DIVISION                                           ,STAFF                                                  ,44,68
2078,POLICE OFFICER                     ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,16,69
2079,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,25,70
2080,POLICE OFFICER                     ,M,W ,OVER 60,75,FORMER EMPLOYEE                                        ,,122,71
2081,POLICE SERGEANT                    ,M,W ,40 - 49,46,6TH DIVISION                                           ,2ND PLATOON                                            ,23,72
2082,POLICE LIEUTENANT                  ,F,W ,40 - 49,41,CIS ROBBERY                                            ,STAFF                                                  ,18,73
2083,POLICE SERGEANT                    ,M,W ,40 - 49,45,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,22,74
2084,POLICE OFFICER                     ,F,W ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,17,75
2085,POLICE OFFICER                     ,F,W ,40 - 49,48,CANINE UNIT                                            ,2ND PLATOON                                            ,23,76
2086,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,1ST PLATOON                                            ,17,77
2087,POLICE OFFICER                     ,M,W ,40 - 49,49,TRAFFIC                                                ,3RD PLATOON                                            ,25,78
2088,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,21,79
2050,POLICE SERGEANT                    ,M,W ,50 - 59,52,TRAINING                                               ,BASIC ACADEMY                                          ,23,80
2137,POLICE LIEUTENANT                  ,M,W ,OVER 60,63,MOUNTED PATROL                                         ,STAFF                                                  ,19,81
2020,POLICE OFFICER                     ,M,W ,50 - 59,58,CIS HOMICIDE                                           ,SQUAD 2                                                ,23,82
2014,POLICE MAJOR                       ,F,B ,40 - 49,48,4TH DIVISION                                           ,STAFF                                                  ,23,83
6165,POLICE MAJOR                       ,M,B ,OVER 60,62,8TH DIVISION                                           ,STAFF                                                  ,40,84
6144,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,NARCOTICS                                              ,STAFF                                                  ,33,85
2811,POLICE SERGEANT                    ,M,W ,OVER 60,60,5TH DIVISION                                           ,FLEX PLATOON                                           ,30,86
6711,POLICE SERGEANT                    ,F,W ,50 - 59,52,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23,87
2916,ASST POLICE CHIEF-LT COLONEL       ,F,W ,50 - 59,51,PATROL BUREAU                                          ,STAFF                                                  ,27,88
2729,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,32,89
2104,POLICE OFFICER                     ,F,W ,50 - 59,58,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,25,90
2350,POLICE LIEUTENANT                  ,M,W ,40 - 49,46,8TH DIVISION                                           ,STAFF                                                  ,23,91
2344,POLICE MAJOR                       ,M,W ,50 - 59,51,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,23,92
6029,POLICE SERGEANT                    ,M,W ,50 - 59,50,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,27,93
2242,POLICE MAJOR                       ,M,W ,50 - 59,56,3RD DIVISION                                           ,FLEX PLATOON 2                                         ,122,94
2608,POLICE OFFICER                     ,F,W ,40 - 49,49,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,21,95
