facility_type,facility_type_description,subtype,subtype_description,permit_number,premise_name,premise_address,premise_city,premise_state,premise_zip,Inspection_Area,opening_date,ObjectId
695,SWIMMING AREA,191,SWIMMING POOL,29012,CHARLESTOWN OF DOUGLAS HILLS,407 CHARLESTOWN COURT,LOUISVILLE,KY,40243,25,1988/08/02 00:00:00,1
695,SWIMMING AREA,191,SWIMMING POOL,45509,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,2
695,SWIMMING AREA,191,SWIMMING POOL,29320,ROYAL OAKS CONDOS,1901 MANOR HOUSE DR,LOUISVILLE,KY,40220,28,1988/06/07 00:00:00,3
695,SWIMMING AREA,191,SWIMMING POOL,29687,FOREST PARK CONDOMINIUMS,1600 FOREST PARK RD,LOUISVILLE,KY,40223,25,1988/06/22 00:00:00,4
695,SWIMMING AREA,191,SWIMMING POOL,46780,LAKESIDE SWIM CLUB,2010 TREVILLIAN WAY,LOUISVILLE,KY,40205,27,1992/06/16 00:00:00,5
695,SWIMMING AREA,197,SPA,72868,RESIDENCE INN,333 E. MARKET ST,LOUISVILLE,KY,40202,28,2004/11/29 00:00:00,6
695,SWIMMING AREA,191,SWIMMING POOL,29022,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,7
695,SWIMMING AREA,191,SWIMMING POOL,29321,SALEM SQUARE CONDOMINIUMS,521 ZORN AVE,LOUISVILLE,KY,40206,26,1988/06/07 00:00:00,8
695,SWIMMING AREA,196,SPRAY POOL,85808,METRO PARKS RIVERVIEW PARK SPRAYGROUND,8203 GREENWOOD RD,LOUISVILLE,KY,40258,23,2010/04/30 00:00:00,9
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,64231,WOODMONT,4120 WOODMONT PARK LN,LOUISVILLE,KY,40245,25,2003/09/23 00:00:00,10
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29688,OWL CREEK SUBDIVISION,10607 HOBBS STATION ROAD,LOUISVILLE,KY,40223,25,1988/06/22 00:00:00,11
695,SWIMMING AREA,191,SWIMMING POOL,46900,PROMENADE COURT TOWNHOMES,152 PROMENADE CT,LOUISVILLE,KY,40223,29,1993/05/28 00:00:00,12
695,SWIMMING AREA,191,SWIMMING POOL,29025,SHELBY HOUSE,8605 SHELBYVILLE ROAD UNIT 231,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,13
695,SWIMMING AREA,191,SWIMMING POOL,72869,RESIDENCE INN,333 E. MARKET ST,LOUISVILLE,KY,40202,28,2004/11/29 00:00:00,14
695,SWIMMING AREA,191,SWIMMING POOL,29326,DEVONSHIRE APARTMENTS,8301 DONCASTER WAY,LOUISVILLE,KY,40222,26,1988/06/07 00:00:00,15
695,SWIMMING AREA,191,SWIMMING POOL,85836,SULLIVAN UNIVERSITY,4004 GARDINER POINTE DR,LOUISVILLE,KY,40213,28,2010/04/15 00:00:00,16
695,SWIMMING AREA,191,SWIMMING POOL,46985,CANTERBURY PLACE,1005 EAST BRIDGE COURT,LOUISVILLE,KY,40223,25,1992/07/21 00:00:00,17
695,SWIMMING AREA,199,WADING POOL,29689,OWL CREEK SUBDIVISION,10607 HOBBS STATION ROAD,LOUISVILLE,KY,40223,25,1988/06/22 00:00:00,18
695,SWIMMING AREA,199,WADING POOL,64232,WOODMONT,4120 WOODMONT PARK LN,LOUISVILLE,KY,40245,25,2003/09/29 00:00:00,19
695,SWIMMING AREA,191,SWIMMING POOL,29141,HURSTBOURNE COUNTRY CLUB,9000 HURSTBOURNE CLUB LN,LOUISVILLE,KY,40222,29,1988/06/06 00:00:00,20
695,SWIMMING AREA,191,SWIMMING POOL,72916,FALCON CREST,3800 FALCON CREST DR,LOUISVILLE,KY,40219,27,2004/12/03 00:00:00,21
695,SWIMMING AREA,191,SWIMMING POOL,29328,SHAWNEE HIGH SCHOOL,4010 W. MARKET STREET,LOUISVILLE,KY,40212,24,2002/03/04 00:00:00,22
695,SWIMMING AREA,196,SPRAY POOL,86298,MARSHALL SPRAYGROUND,1310 S BECKLEY STATION RD,LOUISVILLE,KY,40245,25,2010/07/06 00:00:00,23
695,SWIMMING AREA,191,SWIMMING POOL,47145,WOODLANDS ON HARROD CREEK,5630 TIMBER CREEK CT,LOUISVILLE,KY,40059,21,1996/07/25 00:00:00,24
695,SWIMMING AREA,191,SWIMMING POOL,64284,RESIDENCE INN - LOUISVILLE AIRPORT,700 PHILLIPS LN,LOUISVILLE,KY,40209,28,2005/07/19 00:00:00,25
695,SWIMMING AREA,191,SWIMMING POOL,29693,THE FORUM AT BROOKSIDE,200 BROOKSIDE DR,DOUGLASS HILLS,KY,40243,25,1988/06/22 00:00:00,26
695,SWIMMING AREA,191,SWIMMING POOL,29144,BLAIRWOOD SWIM CLUB,9300 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,1996/09/05 00:00:00,27
695,SWIMMING AREA,191,SWIMMING POOL,73219,HAMPTON INN & SUITES LOUISVILLE EAST,1451 ALLIANT AVE,LOUISVILLE,KY,40299,22,2005/01/20 00:00:00,28
695,SWIMMING AREA,191,SWIMMING POOL,96776,OXMOOR APARTMENT HOMES,7400 STEEPLE CREST CIRCLE,LOUISVILLE,KY,40222,26,2015/07/06 00:00:00,29
695,SWIMMING AREA,191,SWIMMING POOL,29334,SHENANDOAH CONDOS,1 DUPONT WAY,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,30
695,SWIMMING AREA,196,SPRAY POOL,86575,METRO PARKS LONG RUN PARK SPRAYGROUND,1605 FLAT ROCK RD,LOUISVILLE,KY,40245,25,2010/08/16 00:00:00,31
695,SWIMMING AREA,191,SWIMMING POOL,47281,YMCA NORTHEAST,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,1992/09/02 00:00:00,32
695,SWIMMING AREA,191,SWIMMING POOL,64288,JEFFERSON TRACE HOA INC,11330 JEFFERSON TRACE BLVD,LOUISVILLE,KY,40291,22,2005/07/18 00:00:00,33
695,SWIMMING AREA,191,SWIMMING POOL,29699,STONEMILL VILLAGE / INDOOR POOL,850 WASHBURN AVE,LOUISVILLE,KY,40222,29,1988/06/22 00:00:00,34
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29146,BLAIRWOOD SWIM CLUB,9300 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,1998/07/08 00:00:00,35
695,SWIMMING AREA,191,SWIMMING POOL,73376,BLANKENBAKER CROSSINGS APTS,2515 SHINING WATER DR,LOUISVILLE,KY,40299,22,2005/02/10 00:00:00,36
695,SWIMMING AREA,191,SWIMMING POOL,29336,DOUGLAS HILLS CONDO,800 LOGSDON CT,LOUISVILLE,KY,40243,25,1988/06/07 00:00:00,37
695,SWIMMING AREA,191,SWIMMING POOL,96778,JAMESTOWN APARTMENTS,902 MARKHAM LANE,LOUISVILLE,KY,40207,28,2015/08/14 00:00:00,38
695,SWIMMING AREA,191,SWIMMING POOL,47537,SPRINGHURST SWIMMING POOL,4200 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,1996/09/03 00:00:00,39
695,SWIMMING AREA,196,SPRAY POOL,86652,METRO PARKS SHAWNEE PARK,4501 W. BROADWAY,LOUISVILLE,KY,40211,24,2010/08/25 00:00:00,40
695,SWIMMING AREA,191,SWIMMING POOL,64340,RESERVE AT GLENMARY ATTN: JIM BRYAN,10719 PROVIDENCE DR,LOUISVILLE,KY,40291,22,2005/08/18 00:00:00,41
695,SWIMMING AREA,191,SWIMMING POOL,29715,STONEMILL VILLAGE / OUTDOOR POOL,850 WASHBURN AVE,LOUISVILLE,KY,40222,26,1988/06/23 00:00:00,42
695,SWIMMING AREA,199,WADING POOL,29148,BLAIRWOOD SWIM CLUB,9300 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,1998/07/08 00:00:00,43
695,SWIMMING AREA,196,SPRAY POOL,87109,METRO PARKS BRESLIN PARK SPRAY POOL,1388 LEXINGTON RD,LOUISVILLE,KY,40206,26,2010/10/27 00:00:00,44
695,SWIMMING AREA,197,SPA,64504,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,LOUISVILLE,KY,40299,22,2000/07/25 00:00:00,45
695,SWIMMING AREA,191,SWIMMING POOL,73377,SLEEP INN,3330 PRESTON HWY,LOUISVILLE,KY,40213,28,2005/02/16 00:00:00,46
695,SWIMMING AREA,199,WADING POOL,29337,DOUGLAS HILLS SWIM CLUB,501 GATEHOUSE LN,LOUISVILLE,KY,40243,25,1988/06/07 00:00:00,47
695,SWIMMING AREA,191,SWIMMING POOL,64505,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,LOUISVILLE,KY,40299,22,2000/07/25 00:00:00,48
695,SWIMMING AREA,191,SWIMMING POOL,88465,CARDINAL TOWNE HOUSING,1810 S THIRD ST,LOUISVILLE,KY,40208,23,2011/08/15 00:00:00,49
695,SWIMMING AREA,191,SWIMMING POOL,29716,SPINDLEWICK CONDO,810 WASHBURN AVE,LOUISVILLE,KY,40206,26,1988/06/23 00:00:00,50
695,SWIMMING AREA,191,SWIMMING POOL,29156,1616 CONDOMINIUMS,1616 GARDINER LN,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,51
695,SWIMMING AREA,197,SPA,96780,JAMESTOWN APARTMENTS,902 MARKHAM LANE,LOUISVILLE,KY,40207,28,,52
