InspectionID,Facility_ID,Facility_Name,Facility_Address,Facility_Address_2,Facility_City,Facility_State,Facility_Postal_Code,Facility_County,Venue_Type,Inspection_Date,Inspection_Score,Inspection_Purpose,Inspection_Passed,No_Imminent_Health_Hazards,Disinfectant,Free_Chlorine,Free_Bromine,pH,Enclosure,Main_Drain_Visible,Safety_Equipment,Disinfectant_Level,pH_Balance,Inspection_Notes,OBJECTID
1320486,71464,COMFORT SUITES,6535 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2017/09/12,87,ROUTINE,FALSE,TRUE,CHLORINE,1.2,,7.5,TRUE,TRUE,FALSE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",0
1320486,71464,COMFORT SUITES,6535 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2017/09/12,87,ROUTINE,TRUE,TRUE,CHLORINE,1.2,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",1
1320523,29463,YMCA,555 S 2ND ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/09/12,95,ROUTINE,FALSE,TRUE,CHLORINE,2.4000001,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair",2
1320523,29463,YMCA,555 S 2ND ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/09/12,95,ROUTINE,TRUE,TRUE,CHLORINE,2.4000001,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair",3
1320525,101284,HILTON GARDEN INN,400 SHERBURN LANE,,LOUISVILLE,KY,40207,JEFFERSON,POOL,2017/09/12,88,ROUTINE,FALSE,TRUE,CHLORINE,0.2,,8,TRUE,TRUE,TRUE,FALSE,FALSE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - chemicals stock: adequate, fresh, storage, usage| Disinfectant Level - disinfectant free residual| pH Balance - ph(7.2-7.8)| other - operator testing frequency, log sheets maintained",4
1320525,101284,HILTON GARDEN INN,400 SHERBURN LANE,,LOUISVILLE,KY,40207,JEFFERSON,POOL,2017/09/12,88,ROUTINE,TRUE,TRUE,CHLORINE,0.2,,8,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - chemicals stock: adequate, fresh, storage, usage| Disinfectant Level - disinfectant free residual| pH Balance - ph(7.2-7.8)| other - operator testing frequency, log sheets maintained",5
1321118,71914,MARRIOTT LOUISVILLE DOWNTOWN,280 W JEFFERSON ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/09/13,,OTHER,TRUE,TRUE,CHLORINE,40,,7.5999999,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,6
1321120,78169,FAIRFIELD INN / SPRINGHILL SUITES,132 E JEFFERSON ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/09/13,,OTHER,TRUE,TRUE,CHLORINE,2.2,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,7
1321282,58635,QUALITY INNS & SUITES/AIRPORT,311 E. GAULBERT AVE,,LOUISVILLE,KY,40208,JEFFERSON,POOL,2017/09/14,,OTHER,TRUE,TRUE,BROMINE,,4,7,TRUE,TRUE,TRUE,FALSE,FALSE, Disinfectant Level - disinfectant free residual| pH Balance - ph(7.2-7.8)| other - total alkalinity (50-180 ppm),8
1321453,65220,RESIDENCE INN,3500 SPRINGHURST COMMONS DR,,LOUISVILLE,KY,40241,JEFFERSON,POOL,2017/09/14,,OTHER,TRUE,TRUE,CHLORINE,3.2,,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,9
